ID,Class,Path,Band
1.3319.10,LPV,1.3319.10.dat,1.0
1.3441.15,Cep_0,1.3441.15.dat,1.0
1.3441.25,LPV,1.3441.25.dat,1.0
1.3441.45,Cep_0,1.3441.45.dat,1.0
1.3441.1031,RRab,1.3441.1031.dat,1.0
1.3441.1214,RRc,1.3441.1214.dat,1.0
1.3442.172,EC,1.3442.172.dat,1.0
1.3442.233,EC,1.3442.233.dat,1.0
1.3442.503,RRab,1.3442.503.dat,1.0
1.3442.1051,RRab,1.3442.1051.dat,1.0
1.3442.1106,UNK,1.3442.1106.dat,1.0
1.3442.1107,RRab,1.3442.1107.dat,1.0
1.3442.1243,RRab,1.3442.1243.dat,1.0
1.3442.1388,RRab,1.3442.1388.dat,1.0
1.3443.26,Cep_0,1.3443.26.dat,1.0
1.3443.30,Cep_0,1.3443.30.dat,1.0
1.3443.95,EC,1.3443.95.dat,1.0
1.3443.1313,RRab,1.3443.1313.dat,1.0
1.3443.1335,RRab,1.3443.1335.dat,1.0
1.3444.614,EC,1.3444.614.dat,1.0
1.3444.880,EC,1.3444.880.dat,1.0
1.3444.1086,EC,1.3444.1086.dat,1.0
1.3444.1187,RRc,1.3444.1187.dat,1.0
1.3444.1268,RRc,1.3444.1268.dat,1.0
1.3444.1635,EC,1.3444.1635.dat,1.0
1.3445.28,LPV,1.3445.28.dat,1.0
1.3445.42,EC,1.3445.42.dat,1.0
1.3445.1478,RRab,1.3445.1478.dat,1.0
1.3446.9,LPV,1.3446.9.dat,1.0
1.3446.17,Cep_0,1.3446.17.dat,1.0
1.3446.1011,EC,1.3446.1011.dat,1.0
1.3446.1059,EC,1.3446.1059.dat,1.0
1.3446.1877,RRab,1.3446.1877.dat,1.0
1.3446.1886,RRab,1.3446.1886.dat,1.0
1.3446.2004,RRab,1.3446.2004.dat,1.0
1.3446.2073,RRc,1.3446.2073.dat,1.0
1.3447.36,Cep_0,1.3447.36.dat,1.0
1.3447.783,EC,1.3447.783.dat,1.0
1.3448.13,Cep_0,1.3448.13.dat,1.0
1.3448.294,EC,1.3448.294.dat,1.0
1.3449.20,LPV,1.3449.20.dat,1.0
1.3449.62,Cep_1,1.3449.62.dat,1.0
1.3449.149,EC,1.3449.149.dat,1.0
1.3449.948,EC,1.3449.948.dat,1.0
1.3449.1187,RRc,1.3449.1187.dat,1.0
1.3449.1212,RRab,1.3449.1212.dat,1.0
1.3449.1327,RRab,1.3449.1327.dat,1.0
1.3449.1459,RRab,1.3449.1459.dat,1.0
1.3450.53,LPV,1.3450.53.dat,1.0
1.3450.712,EC,1.3450.712.dat,1.0
1.3451.9,Cep_0,1.3451.9.dat,1.0
1.3451.33,Cep_1,1.3451.33.dat,1.0
1.3561.7,LPV,1.3561.7.dat,1.0
1.3562.12,Cep_0,1.3562.12.dat,1.0
1.3562.17,LPV,1.3562.17.dat,1.0
1.3562.18,LPV,1.3562.18.dat,1.0
1.3562.57,EC,1.3562.57.dat,1.0
1.3562.430,EC,1.3562.430.dat,1.0
1.3562.798,RRab,1.3562.798.dat,1.0
1.3562.1159,RRab,1.3562.1159.dat,1.0
1.3563.29,LPV,1.3563.29.dat,1.0
1.3563.34,Cep_0,1.3563.34.dat,1.0
1.3563.74,EC,1.3563.74.dat,1.0
1.3563.401,EC,1.3563.401.dat,1.0
1.3563.1109,RRc,1.3563.1109.dat,1.0
1.3564.32,LPV,1.3564.32.dat,1.0
1.3564.163,EC,1.3564.163.dat,1.0
1.3564.441,UNK,1.3564.441.dat,1.0
1.3564.516,EC,1.3564.516.dat,1.0
1.3564.981,RRab,1.3564.981.dat,1.0
1.3564.1177,RRab,1.3564.1177.dat,1.0
1.3564.1288,EC,1.3564.1288.dat,1.0
1.3564.1324,RRab,1.3564.1324.dat,1.0
1.3565.23,LPV,1.3565.23.dat,1.0
1.3565.30,EC,1.3565.30.dat,1.0
1.3565.47,Cep_0,1.3565.47.dat,1.0
1.3565.87,Cep_1,1.3565.87.dat,1.0
1.3565.99,EC,1.3565.99.dat,1.0
1.3565.579,RRab,1.3565.579.dat,1.0
1.3565.1101,RRab,1.3565.1101.dat,1.0
1.3565.1407,RRc,1.3565.1407.dat,1.0
1.3566.63,EC,1.3566.63.dat,1.0
1.3566.826,RRab,1.3566.826.dat,1.0
1.3566.1436,UNK,1.3566.1436.dat,1.0
1.3566.1641,RRab,1.3566.1641.dat,1.0
1.3566.1773,RRab,1.3566.1773.dat,1.0
1.3567.1010,Cep_0,1.3567.1010.dat,1.0
1.3567.1136,EC,1.3567.1136.dat,1.0
1.3567.1207,EC,1.3567.1207.dat,1.0
1.3567.1450,EC,1.3567.1450.dat,1.0
1.3567.2513,RRab,1.3567.2513.dat,1.0
1.3567.2570,RRab,1.3567.2570.dat,1.0
1.3568.288,EC,1.3568.288.dat,1.0
1.3568.297,EC,1.3568.297.dat,1.0
1.3568.742,EC,1.3568.742.dat,1.0
1.3568.998,RRab,1.3568.998.dat,1.0
1.3568.1480,RRc,1.3568.1480.dat,1.0
1.3569.71,Cep_0,1.3569.71.dat,1.0
1.3569.248,EC,1.3569.248.dat,1.0
1.3570.29,Cep_1,1.3570.29.dat,1.0
1.3570.32,Cep_0,1.3570.32.dat,1.0
1.3570.55,EC,1.3570.55.dat,1.0
1.3570.930,RRab,1.3570.930.dat,1.0
1.3570.1180,RRab,1.3570.1180.dat,1.0
1.3571.21,LPV,1.3571.21.dat,1.0
1.3571.25,Cep_1,1.3571.25.dat,1.0
1.3571.31,Cep_0,1.3571.31.dat,1.0
1.3571.131,EC,1.3571.131.dat,1.0
1.3571.598,EC,1.3571.598.dat,1.0
1.3571.877,RRab,1.3571.877.dat,1.0
1.3571.965,RRc,1.3571.965.dat,1.0
1.3571.1054,EC,1.3571.1054.dat,1.0
1.3571.1343,RRab,1.3571.1343.dat,1.0
1.3571.1349,EC,1.3571.1349.dat,1.0
1.3572.23,Cep_0,1.3572.23.dat,1.0
1.3572.488,RRab,1.3572.488.dat,1.0
1.3572.554,EC,1.3572.554.dat,1.0
1.3682.120,EC,1.3682.120.dat,1.0
1.3683.25,Cep_1,1.3683.25.dat,1.0
1.3683.51,LPV,1.3683.51.dat,1.0
1.3683.406,EC,1.3683.406.dat,1.0
1.3683.948,RRab,1.3683.948.dat,1.0
1.3683.1034,EC,1.3683.1034.dat,1.0
1.3683.1188,RRab,1.3683.1188.dat,1.0
1.3683.1635,RRab,1.3683.1635.dat,1.0
1.3683.1670,RRab,1.3683.1670.dat,1.0
1.3684.237,EC,1.3684.237.dat,1.0
1.3684.265,EC,1.3684.265.dat,1.0
1.3684.379,EC,1.3684.379.dat,1.0
1.3684.1083,RRab,1.3684.1083.dat,1.0
1.3684.1325,RRab,1.3684.1325.dat,1.0
1.3684.1344,UNK,1.3684.1344.dat,1.0
1.3685.41,Cep_0,1.3685.41.dat,1.0
1.3685.92,EC,1.3685.92.dat,1.0
1.3685.162,EC,1.3685.162.dat,1.0
1.3685.1263,RRab,1.3685.1263.dat,1.0
1.3685.1373,RRab,1.3685.1373.dat,1.0
